year,NAFO_div,sex,age,N_millions,proportion_age,N_mature_millions,prop_mat,weight_tonnes,length_mean_mm,weight_mean_g
2000,3L,Male,2,56.79,0.28,56.71,1,1346.01,163.04,23.7
2000,3L,Male,3,141.97,0.69,141.95,1,4325.42,176.33,30.47
2000,3L,Male,4,5.95,0.03,5.95,1,191.91,179.57,32.24
2001,3K,Female,2,91.35,0.53,91.35,1,1369.31,142.82,14.99
2001,3K,Female,3,63.83,0.37,63.83,1,1242.07,155.08,19.46
2001,3K,Female,4,15.65,0.09,15.65,1,348.21,162.32,22.25
2001,3K,Female,5,1.53,0.01,1.53,1,39.47,171.02,25.72
2001,3K,Male,2,24.69,0.32,24.5,0.99,561.58,159.95,22.75
2001,3K,Male,3,50.35,0.66,50.35,1,1408.19,171.07,27.97
2001,3K,Male,4,1.58,0.02,1.58,1,50.17,178.37,31.67
2001,3L,Female,2,223.41,0.53,223.41,1,3602.9,143.09,16.13
2001,3L,Female,3,160.58,0.38,160.58,1,3157.68,152.33,19.66
2001,3L,Female,4,34.37,0.08,34.37,1,841.08,163.97,24.47
2001,3L,Female,5,1.04,0,1.04,1,29.44,173.88,28.27
2001,3L,Male,2,81.12,0.36,80.46,0.99,1973.67,160.99,24.33
2001,3L,Male,3,135.09,0.6,135.02,1,3989.61,170.9,29.53
2001,3L,Male,4,9.56,0.04,9.56,1,301.62,174.52,31.55
2002,3K,Female,2,22.83,0.51,22.83,1,329.3,139.99,14.43
2002,3K,Female,3,17.4,0.39,17.4,1,332.75,152.96,19.12
2002,3K,Female,4,4.03,0.09,4.03,1,84.01,157.2,20.82
2002,3K,Female,5,0.21,0,0.21,1,5.81,172.67,27.95
2002,3K,Male,2,15.65,0.47,15.65,1,347.94,158.39,22.23
2002,3K,Male,3,17.3,0.52,17.3,1,444.12,166.62,25.67
2002,3K,Male,4,0.42,0.01,0.42,1,10.08,162.14,23.84
2002,3L,Female,1,0.43,0,0.43,1,5.05,132.5,11.79
2002,3L,Female,2,159.2,0.58,159.2,1,2269.59,140.19,14.26
2002,3L,Female,3,92.74,0.34,92.74,1,1759.97,152.82,18.98
2002,3L,Female,4,20.53,0.08,20.53,1,459.81,160.94,22.4
2002,3L,Female,5,0.29,0,0.29,1,8.02,174.1,27.38
2002,3L,Male,2,70.89,0.42,69.74,0.98,1514.24,157.33,21.36
2002,3L,Male,3,94.62,0.55,94.39,1,2467.9,167.79,26.08
2002,3L,Male,4,5.25,0.03,5.25,1,153.42,174.62,29.24
2003,3K,Female,2,66.64,0.64,66.64,1,947.02,140.81,14.21
2003,3K,Female,3,23.09,0.22,23.09,1,424.02,152.94,18.37
2003,3K,Female,4,13.69,0.13,13.69,1,297.79,161.71,21.75
2003,3K,Female,5,1.41,0.01,1.41,1,33.69,166.83,23.82
2003,3K,Male,2,46.62,0.49,46.62,1,1064.4,160.21,22.83
2003,3K,Male,3,42.9,0.45,42.9,1,1130.27,168.57,26.35
2003,3K,Male,4,6.08,0.06,6.08,1,169.81,172.2,27.95
2003,3L,Female,2,294.81,0.74,294.81,1,4423.77,142.06,15.01
2003,3L,Female,3,82.21,0.21,82.21,1,1576.39,153.27,19.18
2003,3L,Female,4,21.53,0.05,21.53,1,473.78,160.38,22.01
2003,3L,Female,5,1.08,0,1.08,1,27.27,167.81,25.3
