"year","age","med.abund.age.fran","low.abund.age.fran","up.abund.age.fran","med.bm.age.fran","low.bm.age.fran","up.bm.age.fran","med.mat.abund.age.fran","low.mat.abund.age.fran","up.mat.abund.age.fran","med.mat.bm.age.fran","low.mat.bm.age.fran","up.mat.bm.age.fran"
2017,"3",1508.5553142344,1290.45350790589,1967.27678246767,22610.4911431827,19347.7030378921,29600.9821342361,1488.88941631489,1273.49325149546,1943.65368268781,22341.3144670701,19114.9545953588,29278.1761757194
2017,"4",41.4273826627589,34.0322416335714,57.5707943724685,770.437015533161,632.783922176456,1065.71286284636,41.4273826627589,34.0322416335714,57.5707943724685,770.437015533161,632.783922176456,1065.71286284636
2018,"1",665.033801,555.326134,1152.479516,1548.63769701,1330.0610675,2494.4762881,0,0,0,0,0,0
2018,"2",24553.338875,20625.205566,41244.88133,177091.60152097,148336.8892467,297811.38582844,7658.78233356,6374.00732625,13066.45036446,56878.9694379278,47258.1886781277,97169.2013889812
2018,"3",6791.210658,5833.172402,10382.22253,109859.37239775,94323.78806501,169984.83113748,6476.80697332,5562.88990127,9940.86354951,104954.556315216,90099.6418596575,163112.914335486
2018,"4",25.10052,13.97925,111.15057,523.8478524,291.7469475,2319.7123959,25.10052,13.97925,111.15057,523.8478524,291.7469475,2319.7123959
2018,"Unknown",6.032556,5.349888,7.036926,24.7334796,21.9345408,28.8513966,0,0,0,0,0,0
2019,"1",218.6772594664,142.5352418973,333.9476469854,190.249215735768,124.005660450651,290.534452877298,0,0,0,0,0,0
2019,"2",8954.76848927249,7349.34076007626,11526.1103929836,105161.72723704,86131.6026320178,135722.110792676,7183.01793640023,5874.04584231121,9295.11078014074,85136.8494098283,69517.413813439,110369.21684805
2019,"3",8938.90779960966,7644.86907742031,11066.8365782892,168805.762652911,144601.818183481,208564.517194228,8838.61641681965,7555.00312399173,10950.5456676024,166854.818651619,142849.950790417,206310.072225439
2019,"4",426.40955490245,365.04704814813,528.75205801978,9547.53964667396,8178.03859588502,11833.9474746366,426.40955490245,365.04704814813,528.75205801978,9547.53964667396,8178.03859588502,11833.9474746366
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0
2021,"1",15020.6032958006,23321.2686942158,80303.6980758929,32602.0483762412,51008.6404350669,175431.039125431,0,0,0,0,0,0
2021,"2",7516.34242496433,9426.57352120822,33679.8789496796,70145.8910400567,90505.0950301106,321621.587552819,2000.88598943283,2701.69712976419,9518.72420870337,19624.3720490268,26162.9832438873,92370.1345718893
2021,"3",200.076061860121,322.220131917214,1103.12191730899,4838.65975686863,7786.02523990628,26658.8229657592,199.248024086605,322.016328913491,1101.8516492205,4817.83460686472,7780.89959436265,26626.8757233339
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0
